City,BHK,Sqft,Bathrooms,Floor,Total_Floors,Distance_to_Center,Has_Swimming_Pool,Has_Gym,Is_Gated_Community,Per_Capita_Income_Lakh,Price_INR
Kolkata,1,629,1,3,8,17.64,0,1,1,2.5,3779557.0
Chennai,5,9046,4,12,18,19.63,0,0,0,3.5,80602284.0
Chennai,3,1572,3,0,1,26.01,0,0,0,3.5,8234676.0
Kolkata,3,1671,3,8,10,11.03,1,1,1,2.5,14671811.0
Jaipur,3,1508,3,11,21,28.62,0,0,1,1.8,4827538.0
Kolkata,2,1122,2,5,10,22.24,0,0,1,2.5,5304939.0
Hyderabad,3,1776,3,1,3,5.92,1,1,0,5.54,23685266.0
Lucknow,5,6912,4,3,5,14.69,1,1,0,1.6,45594871.0
Hyderabad,1,429,1,1,8,25.25,1,1,1,5.54,2745357.0
Delhi NCR,2,1049,2,3,5,19.4,1,1,0,4.75,10031074.0
Hyderabad,3,1850,3,5,6,15.19,0,1,1,5.54,12913154.0
Bangalore,3,1320,3,11,11,1.72,1,1,1,9.8,17951444.0
Lucknow,5,8413,5,2,12,15.7,1,1,0,1.6,56995710.0
Pune,1,576,1,5,8,0.75,0,0,1,2.78,4106614.0
Mumbai,3,1773,3,22,31,29.27,1,1,1,4.13,14460170.0
Bangalore,2,885,2,27,34,8.59,1,1,0,9.8,10188682.0
Hyderabad,3,1831,3,8,10,6.27,0,0,1,5.54,12748802.0
Bangalore,4,2882,3,35,39,29.4,1,1,0,9.8,27490048.0
Pune,3,1745,2,11,20,4.88,0,1,1,2.78,15154098.0
Kolkata,2,1096,2,9,19,26.44,0,0,0,2.5,4113742.0
Jaipur,1,496,0,7,17,17.43,1,1,1,1.8,2763687.0
Jaipur,1,536,1,7,17,27.94,0,0,1,1.8,2000000.0
Kolkata,2,1014,2,4,12,5.87,0,1,1,2.5,7637030.0
Chennai,2,1142,2,12,16,28.47,0,0,1,3.5,4581556.0
Chennai,4,3431,3,14,24,20.06,0,0,1,3.5,19593960.0
Chennai,5,9986,5,1,11,12.58,1,1,1,3.5,139036338.0
Bangalore,4,3622,3,37,47,17.24,1,1,0,9.8,33255055.0
Bangalore,5,5568,5,15,17,8.98,1,1,1,9.8,95253952.0
Ahmedabad,3,1328,3,13,13,12.04,0,0,1,2.8,6664835.0
Kolkata,1,576,1,2,3,28.35,1,1,0,2.5,2861222.0
Hyderabad,3,1828,3,2,5,27.79,1,1,1,5.54,10939068.0
Delhi NCR,2,981,2,34,43,6.63,1,1,1,4.75,19118890.0
Mumbai,2,1088,1,38,41,7.47,1,1,0,4.13,28967810.0
Lucknow,5,5418,5,9,13,12.63,0,1,1,1.6,26219583.0
Bangalore,5,6865,5,5,6,18.14,1,1,0,9.8,105765722.0
Delhi NCR,1,698,1,8,13,10.23,1,1,0,4.75,5065019.0
Mumbai,4,2239,4,30,32,29.74,1,1,0,4.13,39764271.0
Chennai,4,3496,4,13,13,23.25,1,1,1,3.5,17962610.0
Chennai,3,1767,3,0,3,10.56,0,1,1,3.5,10504725.0
Mumbai,4,2680,4,12,12,6.45,1,1,0,4.13,69322950.0
Bangalore,2,1188,2,9,12,1.74,1,1,1,9.8,20242541.0
Ahmedabad,1,508,1,4,9,8.14,0,1,1,2.8,3166651.0
Pune,3,1431,3,8,9,20.6,0,1,0,2.78,9445047.0
Mumbai,3,1656,2,8,12,28.85,1,1,0,4.13,23094319.0
Hyderabad,4,3435,4,1,5,14.83,0,0,0,5.54,16682379.0
Kolkata,4,3384,4,13,16,5.16,1,1,0,2.5,28196603.0
Hyderabad,2,1010,2,14,15,6.43,0,1,1,5.54,8985826.0
Delhi NCR,2,851,2,2,2,5.02,1,1,1,4.75,12892444.0
Kolkata,2,997,2,10,16,7.51,0,0,1,2.5,6959880.0
Hyderabad,2,938,2,12,15,29.49,0,1,1,5.54,3731055.0
Ahmedabad,4,3874,3,13,15,7.59,0,0,0,2.8,24521652.0
Pune,4,3662,4,10,14,7.17,1,1,1,2.78,39260663.0
Chennai,2,1070,2,12,13,0.8,1,1,0,3.5,10575000.0
Kolkata,5,7079,5,14,20,25.87,0,0,1,2.5,50177117.0
Ahmedabad,2,1190,2,15,18,22.26,0,0,1,2.8,5774403.0
Bangalore,2,1188,2,13,22,25.39,1,1,1,9.8,12737190.0
Lucknow,3,1859,2,9,10,20.8,0,0,1,1.6,5752830.0
Jaipur,3,1400,3,6,11,6.38,0,1,1,1.8,7418369.0
Pune,1,637,1,13,16,21.48,0,0,1,2.78,4319935.0
Pune,3,1632,2,14,16,3.68,0,0,1,2.78,17982836.0
Jaipur,1,448,0,0,9,23.41,0,0,0,1.8,2000000.0
Hyderabad,1,488,0,7,16,27.08,0,0,1,5.54,2676501.0
Pune,4,2559,3,3,9,22.6,1,1,1,2.78,15943985.0
Jaipur,3,1507,3,4,6,26.82,0,1,1,1.8,4743167.0
Delhi NCR,1,572,0,17,26,12.5,1,1,1,4.75,7413131.0
Jaipur,4,3979,4,2,5,11.34,1,1,1,1.8,26731129.0
Pune,4,2331,4,14,24,28.73,0,1,1,2.78,14476354.0
Delhi NCR,3,1999,3,6,14,27.33,1,1,1,4.75,19318376.0
Bangalore,1,533,1,34,38,8.26,1,1,1,9.8,8012559.0
Jaipur,5,7812,4,5,5,16.39,0,1,1,1.8,47044576.0
Bangalore,4,3011,3,39,42,7.99,1,1,1,9.8,46574963.0
Jaipur,5,9958,5,15,15,15.93,1,1,1,1.8,101334755.0
Delhi NCR,2,939,2,27,30,19.26,1,1,1,4.75,9137407.0
Ahmedabad,3,1495,2,10,19,0.68,0,0,0,2.8,11565548.0
Ahmedabad,2,860,2,13,17,6.05,1,1,1,2.8,4834555.0
Bangalore,4,2876,3,38,45,20.74,1,1,0,9.8,35312914.0
Chennai,5,6650,4,2,9,22.06,1,1,1,3.5,61754365.0
Kolkata,4,2585,4,12,16,10.54,0,1,1,2.5,17417620.0
Jaipur,4,2938,3,7,8,17.08,1,1,0,1.8,13948840.0
Kolkata,5,8234,4,8,16,7.23,1,1,1,2.5,83747070.0
Pune,3,1646,2,8,9,21.0,0,1,1,2.78,11095681.0
Jaipur,1,680,0,7,15,26.84,0,0,0,1.8,2221056.0
Kolkata,1,492,1,4,12,9.3,1,1,0,2.5,4222245.0
Chennai,3,1384,2,5,15,15.04,0,0,0,3.5,7663335.0
Bangalore,3,1631,3,1,5,19.86,1,1,0,9.8,12378762.0
Jaipur,3,1891,3,10,17,19.4,0,1,0,1.8,7212718.0
Ahmedabad,2,916,2,8,10,27.83,0,1,1,2.8,4236074.0
Kolkata,4,3964,3,13,20,21.57,0,1,1,2.5,25033448.0
Lucknow,2,867,2,9,19,6.5,0,0,1,1.6,3769405.0
Jaipur,5,7439,5,10,14,0.55,0,0,0,1.8,64164474.0
Hyderabad,5,5146,5,0,5,2.21,0,1,0,5.54,62444026.0
Jaipur,4,2564,4,0,7,28.01,0,0,1,1.8,8825052.0
Hyderabad,2,1005,2,14,21,21.17,0,0,0,5.54,5370312.0
Chennai,1,659,1,9,14,5.88,0,0,0,3.5,4731121.0
Hyderabad,5,7444,4,7,11,17.58,0,0,0,5.54,63781769.0
Kolkata,3,1615,3,5,10,8.26,0,0,1,2.5,8919109.0
Ahmedabad,4,3272,3,4,8,3.64,0,1,0,2.8,22752749.0
Delhi NCR,3,1725,3,14,14,8.77,1,1,1,4.75,21247986.0
Kolkata,5,9648,5,6,7,5.68,0,0,1,2.5,111362642.0
Ahmedabad,2,867,1,10,10,9.61,0,0,1,2.8,4709470.0
Jaipur,2,874,1,11,16,13.45,0,1,1,1.8,3567133.0
Chennai,1,648,1,8,8,9.23,0,0,1,3.5,4412710.0
Ahmedabad,4,2250,3,5,14,16.48,0,1,0,2.8,10656369.0
Delhi NCR,2,963,2,39,40,14.06,1,1,1,4.75,8832917.0
Hyderabad,3,1591,2,1,11,15.4,0,0,0,5.54,10054937.0
Jaipur,3,1643,2,7,13,6.97,0,1,1,1.8,9255280.0
Hyderabad,5,7567,5,3,12,25.16,0,1,1,5.54,95928597.0
Delhi NCR,2,1079,1,1,10,1.96,1,1,0,4.75,14029301.0
Chennai,4,2921,4,6,15,6.51,0,1,1,3.5,25555747.0
Mumbai,4,2978,4,9,9,27.06,1,1,0,4.13,46179801.0
Jaipur,2,1084,2,14,17,25.43,0,0,0,1.8,2924153.0
Bangalore,1,548,0,5,15,26.51,1,1,1,9.8,4652409.0
Chennai,3,1776,2,2,5,12.96,0,0,1,3.5,11632218.0
Delhi NCR,4,3772,4,18,27,9.45,1,1,0,4.75,73172107.0
Delhi NCR,3,1768,3,10,14,19.62,1,1,1,4.75,15182830.0
Ahmedabad,5,7094,5,12,19,20.56,1,1,0,2.8,54863712.0
Mumbai,4,2343,4,26,35,9.14,1,1,1,4.13,58809170.0
Jaipur,3,1659,3,4,8,11.09,0,1,1,1.8,7092786.0
Ahmedabad,3,1415,2,13,19,23.33,0,0,0,2.8,6420621.0
